playTime|bitesTaken|win/lose
Player1|13|46|lose
Player1|61|51|lose
Player1|110|0|lose
Player1|33|58|lose
Player4|28|53|lose
Player5|12|46|lose
Player5|47|66|lose
Player5|1|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|1|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|1|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|2|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|2|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|2|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|0|0|win
Player5|22|0|lose
Player5|32|49|lose
Player5|45|40|lose
Player5|18|0|lose
Player5|30|58|lose
Player5|16|43|lose
Player5|15|61|lose
Player5|9|33|lose
Player5|72|81|win
Player5|8|36|lose
Player5|16|71|lose
Player5|9|46|lose
Player5|79|78|lose
Player5|9|38|lose
Player5|11|42|lose
Player5|11|31|lose
Player5|9|41|lose
Player5|14|49|lose
Player5|12|37|lose
Player5|12|54|lose
Player5|73|78|lose
Player5|8|44|lose
Player5|10|48|lose
